example_index,example_type,model,gold_label,predicted_label,token,lime_weight
1,hybrid_hurt,AfriBERTa,NEG,NEG,hwafa,0.13074324826926156
1,hybrid_hurt,AfriBERTa,NEG,NEG,huswa,0.12176024378445052
1,hybrid_hurt,AfriBERTa,NEG,NEG,ndihwo,-0.11988671974207887
1,hybrid_hurt,AfriBERTa,NEG,NEG,shokombereka1,0.11140790352611032
1,hybrid_hurt,AfriBERTa,NEG,NEG,hunongotsikwa,0.0947558324717893
1,hybrid_hurt,AfriBERTa,NEG,NEG,So,-0.07039622541773378
1,hybrid_hurt,AfriBERTa,NEG,NEG,hukatarira,0.05346569351051301
1,hybrid_hurt,AfriBERTa,NEG,NEG,include,-0.044755644849113485
1,hybrid_hurt,AfriBERTa,NEG,NEG,it,-0.04107768345330001
1,hybrid_hurt,Coverage-aware hybrid,NEG,POS,kusvika,0.08250829166322596
1,hybrid_hurt,Coverage-aware hybrid,NEG,POS,ndihwo,0.07666965354195339
1,hybrid_hurt,Coverage-aware hybrid,NEG,POS,shokombereka1,-0.07276033408772399
1,hybrid_hurt,Coverage-aware hybrid,NEG,POS,hwafa,-0.06265516434220368
1,hybrid_hurt,Coverage-aware hybrid,NEG,POS,include,0.054228665154260114
1,hybrid_hurt,Coverage-aware hybrid,NEG,POS,everyone,0.053147678496525824
1,hybrid_hurt,Coverage-aware hybrid,NEG,POS,huswa,-0.04630901568814168
1,hybrid_hurt,Coverage-aware hybrid,NEG,POS,yenzou,-0.04019613839247758
1,hybrid_hurt,Coverage-aware hybrid,NEG,POS,ifight,-0.03412786973507396
1,hybrid_hurt,Coverage-aware hybrid,NEG,POS,So,0.03283037158778476
