token,count,document_support,original_noise_reason,contextual_lexical_class,contextual_word_type,contextual_english_meaning,contextual_confidence,contextual_reason,recovered_as_shona_content,assessment_model,assessment_prompt_version
your,67,63,english_frequency,english_or_code_switch,pronoun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
from,62,61,english_frequency,english_or_code_switch,preposition,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
guys,61,61,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
can,63,60,english_frequency,english_or_code_switch,auxiliary,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
president,59,59,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
havana,56,56,english_frequency,shona_content,verb,,0.9,,True,gpt-5-mini,candidate_language_screen_v1
think,57,53,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
why,56,53,english_frequency,english_or_code_switch,function,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
its,53,52,english_frequency,english_or_code_switch,pronoun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
same,54,52,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
lol,51,51,english_frequency,english_or_code_switch,interjection,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
time,51,49,english_frequency,english_or_code_switch,noun,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
who,47,47,english_frequency,english_or_code_switch,pronoun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
aah,49,46,english_frequency,shona_noncontent,interjection,,0.75,,False,gpt-5-mini,candidate_language_screen_v1
after,47,46,english_frequency,english_or_code_switch,preposition,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
people,47,46,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
plus,48,45,english_frequency,english_or_code_switch,conjunction,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
zim,51,45,english_frequency,name_place_or_brand,place,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
know,45,44,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
nani,46,44,english_frequency,shona_content,pronoun,,0.75,,True,gpt-5-mini,candidate_language_screen_v1
right,47,44,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
virgin,50,44,english_frequency,english_or_code_switch,noun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
don't,43,43,english_frequency,english_or_code_switch,auxiliary,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
twitter,43,43,english_frequency,name_place_or_brand,name,,0.98,,False,gpt-5-mini,candidate_language_screen_v1
day,44,42,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
life,40,40,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
out,41,40,english_frequency,english_or_code_switch,adverb,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
problem,43,40,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
good,40,39,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
she,44,39,english_frequency,english_or_code_switch,pronoun,,0.98,,False,gpt-5-mini,candidate_language_screen_v1
ana,40,38,english_frequency,shona_content,noun,,0.85,,True,gpt-5-mini,candidate_language_screen_v1
team,40,38,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
years,39,38,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
ese,37,37,english_frequency,shona_content,adjective,,0.95,,True,gpt-5-mini,candidate_language_screen_v1
road,48,37,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
what,40,37,english_frequency,english_or_code_switch,pronoun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
love,36,36,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
never,36,36,english_frequency,english_or_code_switch,adverb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
please,38,36,english_frequency,english_or_code_switch,particle,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
sure,37,36,english_frequency,english_or_code_switch,adjective,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
because,35,34,english_frequency,english_or_code_switch,conjunction,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
his,37,34,english_frequency,english_or_code_switch,pronoun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
better,36,33,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
ichi,35,33,english_frequency,shona_content,demonstrative,,0.95,,True,gpt-5-mini,candidate_language_screen_v1
man,34,33,english_frequency,english_or_code_switch,noun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
should,33,33,english_frequency,english_or_code_switch,auxiliary,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
very,34,33,english_frequency,english_or_code_switch,adverb,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
about,33,32,english_frequency,english_or_code_switch,preposition,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
more,34,32,english_frequency,english_or_code_switch,adverb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
our,33,32,english_frequency,english_or_code_switch,pronoun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
them,33,32,english_frequency,english_or_code_switch,pronoun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
how,33,31,english_frequency,english_or_code_switch,adverb,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
imagine,31,31,english_frequency,english_or_code_switch,verb,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
rake,31,31,english_frequency,shona_noncontent,concord,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
best,31,30,english_frequency,english_or_code_switch,adjective,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
nana,32,30,english_frequency,name_place_or_brand,name,,0.7,,False,gpt-5-mini,candidate_language_screen_v1
need,30,30,english_frequency,english_or_code_switch,verb,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
nelson,30,30,english_frequency,name_place_or_brand,name,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
queen,32,30,english_frequency,name_place_or_brand,name,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
than,31,30,english_frequency,english_or_code_switch,conjunction,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
ahh,30,29,english_frequency,english_or_code_switch,interjection,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
hahaha,29,29,english_frequency,english_or_code_switch,interjection,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
yes,30,29,english_frequency,english_or_code_switch,particle,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
only,29,28,english_frequency,english_or_code_switch,adverb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
other,28,28,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
stop,28,28,english_frequency,english_or_code_switch,verb,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
bro,29,27,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
cbd,29,27,english_frequency,name_place_or_brand,place,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
city,27,27,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
first,30,27,english_frequency,english_or_code_switch,adverb,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
inga,27,27,english_frequency,shona_content,particle,,0.8,,True,gpt-5-mini,candidate_language_screen_v1
soo,27,27,english_frequency,english_or_code_switch,particle,,0.7,,False,gpt-5-mini,candidate_language_screen_v1
way,27,27,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
year,27,27,english_frequency,english_or_code_switch,noun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
ano,26,26,english_frequency,shona_content,concord,,0.8,,True,gpt-5-mini,candidate_language_screen_v1
busy,26,26,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
edu,26,26,english_frequency,shona_content,pronoun,,0.9,,True,gpt-5-mini,candidate_language_screen_v1
guy,27,26,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
her,28,26,english_frequency,english_or_code_switch,pronoun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
media,27,26,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
their,27,26,english_frequency,english_or_code_switch,pronoun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
tweet,27,26,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
umm,29,26,english_frequency,english_or_code_switch,interjection,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
ako,25,25,english_frequency,shona_noncontent,pronoun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
dont,26,25,english_frequency,english_or_code_switch,auxiliary,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
freeman,26,25,english_frequency,name_place_or_brand,name,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
ino,25,25,english_frequency,shona_noncontent,demonstrative,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
music,27,25,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
back,26,24,english_frequency,english_or_code_switch,adverb,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
big,24,24,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
business,25,24,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
call,25,24,english_frequency,uncertain,,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
him,26,24,english_frequency,uncertain,,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
make,25,24,english_frequency,uncertain,,,0.5,,False,gpt-5-mini,candidate_language_screen_v1
number,26,24,english_frequency,uncertain,,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
papi,25,24,english_frequency,uncertain,,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
aka,24,23,english_frequency,uncertain,,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
days,24,23,english_frequency,uncertain,,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
house,26,23,english_frequency,uncertain,,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
last,23,23,english_frequency,uncertain,,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
pressure,23,23,english_frequency,uncertain,,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
rose,23,23,english_frequency,uncertain,,,0.3,,False,gpt-5-mini,candidate_language_screen_v1
school,24,23,english_frequency,uncertain,,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
app,22,22,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
babe,22,22,english_frequency,english_or_code_switch,noun,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
being,22,22,english_frequency,english_or_code_switch,auxiliary,,0.8,,False,gpt-5-mini,candidate_language_screen_v1
etc,22,22,english_frequency,english_or_code_switch,function,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
every,22,22,english_frequency,english_or_code_switch,function,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
phone,23,22,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
remember,23,22,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
true,22,22,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
type,23,22,english_frequency,english_or_code_switch,noun,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
chi,21,21,english_frequency,shona_content,concord,,0.7,,True,gpt-5-mini,candidate_language_screen_v1
come,21,21,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
elizabeth,22,21,english_frequency,name_place_or_brand,name,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
plan,22,21,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
social,21,21,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
some,21,21,english_frequency,english_or_code_switch,function,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
something,21,21,english_frequency,english_or_code_switch,function,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
sorry,21,21,english_frequency,english_or_code_switch,interjection,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
these,21,21,english_frequency,english_or_code_switch,demonstrative,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
ani,20,20,english_frequency,shona_content,pronoun,,0.95,,True,gpt-5-mini,candidate_language_screen_v1
has,20,20,english_frequency,english_or_code_switch,auxiliary,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
high,20,20,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
jobs,20,20,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
new,21,20,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
wrong,20,20,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
ake,20,19,english_frequency,shona_content,pronoun,,0.95,,True,gpt-5-mini,candidate_language_screen_v1
ave,19,19,english_frequency,shona_content,verb,,0.9,,True,gpt-5-mini,candidate_language_screen_v1
birthday,20,19,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
country,19,19,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
free,20,19,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
much,19,19,english_frequency,english_or_code_switch,adverb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
mugabe,21,19,english_frequency,name_place_or_brand,name,,0.98,,False,gpt-5-mini,candidate_language_screen_v1
real,19,19,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
rino,19,19,english_frequency,shona_content,demonstrative,,0.9,,True,gpt-5-mini,candidate_language_screen_v1
say,19,19,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
show,21,19,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
song,20,19,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
that's,19,19,english_frequency,english_or_code_switch,demonstrative,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
any,19,18,english_frequency,english_or_code_switch,function,,0.8,,False,gpt-5-mini,candidate_language_screen_v1
around,18,18,english_frequency,english_or_code_switch,preposition,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
general,19,18,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
happy,19,18,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
i'm,18,18,english_frequency,english_or_code_switch,pronoun,,0.8,,False,gpt-5-mini,candidate_language_screen_v1
king,19,18,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
most,18,18,english_frequency,english_or_code_switch,function,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
over,18,18,english_frequency,english_or_code_switch,adverb,,0.75,,False,gpt-5-mini,candidate_language_screen_v1
serious,18,18,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
sports,18,18,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
those,18,18,english_frequency,english_or_code_switch,demonstrative,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
age,17,17,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
boys,18,17,english_frequency,english_or_code_switch,noun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
cant,17,17,english_frequency,english_or_code_switch,auxiliary,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
family,18,17,english_frequency,english_or_code_switch,noun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
link,17,17,english_frequency,english_or_code_switch,noun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
marry,17,17,english_frequency,english_or_code_switch,verb,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
must,17,17,english_frequency,english_or_code_switch,auxiliary,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
nothing,17,17,english_frequency,english_or_code_switch,pronoun,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
own,17,17,english_frequency,english_or_code_switch,verb,,0.75,,False,gpt-5-mini,candidate_language_screen_v1
part,19,17,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
peace,17,17,english_frequency,english_or_code_switch,noun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
still,17,17,english_frequency,english_or_code_switch,adverb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
take,18,17,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
there,17,17,english_frequency,english_or_code_switch,deictic,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
things,18,17,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
too,17,17,english_frequency,english_or_code_switch,adverb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
week,17,17,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
well,17,17,english_frequency,english_or_code_switch,adverb,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
whatsapp,17,17,english_frequency,name_place_or_brand,name,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
when,18,17,english_frequency,english_or_code_switch,conjunction,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
yrs,17,17,english_frequency,english_or_code_switch,noun,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
africa,17,16,english_frequency,name_place_or_brand,place,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
also,16,16,english_frequency,english_or_code_switch,adverb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
hee,25,16,english_frequency,shona_noncontent,interjection,,0.8,,False,gpt-5-mini,candidate_language_screen_v1
help,16,16,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
long,17,16,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
see,16,16,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
violence,17,16,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
want,16,16,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
worse,17,16,english_frequency,english_or_code_switch,adjective,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
account,15,15,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
can't,15,15,english_frequency,english_or_code_switch,auxiliary,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
hopewell,16,15,english_frequency,name_place_or_brand,name,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
least,15,15,english_frequency,english_or_code_switch,adverb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
million,15,15,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
morning,15,15,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
off,15,15,english_frequency,english_or_code_switch,adverb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
park,16,15,english_frequency,name_place_or_brand,place,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
pay,17,15,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
pic,16,15,english_frequency,english_or_code_switch,noun,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
post,15,15,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
respect,15,15,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
sanctions,15,15,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
thing,15,15,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
vega,15,15,english_frequency,shona_content,adverb,,0.9,,True,gpt-5-mini,candidate_language_screen_v1
anyway,14,14,english_frequency,english_or_code_switch,adverb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
full,14,14,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
grade,14,14,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
guru,15,14,english_frequency,shona_content,noun,,0.8,,True,gpt-5-mini,candidate_language_screen_v1
haha,14,14,english_frequency,shona_noncontent,interjection,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
hot,14,14,english_frequency,english_or_code_switch,adjective,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
rent,14,14,english_frequency,english_or_code_switch,noun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
south,15,14,english_frequency,english_or_code_switch,place,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
thank,14,14,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
trust,14,14,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
understand,14,14,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
were,14,14,english_frequency,english_or_code_switch,auxiliary,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
wife,15,14,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
ati,13,13,english_frequency,shona_content,particle,,0.95,,True,gpt-5-mini,candidate_language_screen_v1
before,13,13,english_frequency,english_or_code_switch,preposition,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
brain,13,13,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
charles,13,13,english_frequency,name_place_or_brand,name,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
citizens,13,13,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
content,13,13,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
date,13,13,english_frequency,english_or_code_switch,verb,,0.7,,False,gpt-5-mini,candidate_language_screen_v1
end,13,13,english_frequency,english_or_code_switch,noun,,0.7,,False,gpt-5-mini,candidate_language_screen_v1
