token,count,len,noise_reason,label,review_flag,document_support,candidate_source,extra_filter_reason,candidate_status
aigara,3,6,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
aigona,3,6,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
aimbova,3,7,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
aimbove,4,7,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
aine,12,4,,shona_candidate,,12,deterministic,,candidate_missing_from_base_lexicon
ainzi,3,5,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
aita,12,4,,shona_candidate,,12,deterministic,,candidate_missing_from_base_lexicon
aitwa,3,5,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
aiva,10,4,,shona_candidate,,10,deterministic,,candidate_missing_from_base_lexicon
aive,9,4,,shona_candidate,,9,deterministic,,candidate_missing_from_base_lexicon
aiwa,21,4,,shona_candidate,,21,deterministic,,candidate_missing_from_base_lexicon
aizve,6,5,,shona_candidate,suspected_non_content_seed,6,deterministic,,candidate_missing_from_base_lexicon
akabata,5,7,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
akabatwa,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akabhadhara,3,11,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akabva,10,6,,shona_candidate,,10,deterministic,,candidate_missing_from_base_lexicon
akadai,5,6,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
akadaro,7,7,,shona_candidate,,7,deterministic,already_in_base_lexicon,already_in_base_lexicon
akadya,6,6,,shona_candidate,,6,deterministic,,candidate_missing_from_base_lexicon
akadzidza,4,9,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
akaenda,7,7,,shona_candidate,,7,deterministic,,candidate_missing_from_base_lexicon
akafa,11,5,,shona_candidate,,11,deterministic,already_in_base_lexicon,already_in_base_lexicon
akafanana,3,9,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akaguta,3,7,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akahwina,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akaipa,5,6,,shona_candidate,,5,deterministic,already_in_base_lexicon,already_in_base_lexicon
akaisa,4,6,,shona_candidate,,4,deterministic,already_in_base_lexicon,already_in_base_lexicon
akaita,21,6,,shona_candidate,,21,deterministic,,candidate_missing_from_base_lexicon
akaitwa,3,7,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akakundikana,4,12,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
akakwana,7,8,,shona_candidate,,6,deterministic,,candidate_missing_from_base_lexicon
akakwanisa,8,10,,shona_candidate,,7,deterministic,,candidate_missing_from_base_lexicon
akamaka,3,7,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akamira,3,7,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akanaka,24,7,,shona_candidate,,24,deterministic,,candidate_missing_from_base_lexicon
akanga,4,6,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
akange,3,6,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akangofanana,3,12,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akangoti,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akanyanya,3,9,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akanyora,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akaona,3,6,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akaonekwa,3,9,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akapenga,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akapera,3,7,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akapfeka,6,8,,shona_candidate,,6,deterministic,,candidate_missing_from_base_lexicon
akapihwa,3,8,,shona_candidate,,2,deterministic,,candidate_missing_from_base_lexicon
akapinda,4,8,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
akapindwa,3,9,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akapiwa,3,7,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akararama,3,9,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akarohwa,3,8,,shona_candidate,,3,deterministic,already_in_base_lexicon,already_in_base_lexicon
akaroora,6,8,,shona_candidate,,6,deterministic,,candidate_missing_from_base_lexicon
akaroorwa,4,9,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
akashandiswa,3,12,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akashaya,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akasiya,5,7,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
akatadza,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akatanga,5,8,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
akati,30,5,,shona_candidate,,29,deterministic,,candidate_missing_from_base_lexicon
akatsamwa,3,9,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akavenga,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akavharwa,3,9,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akawana,6,7,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
akawanda,16,8,,shona_candidate,,15,deterministic,already_in_base_lexicon,already_in_base_lexicon
akazara,10,7,,shona_candidate,,10,deterministic,,candidate_missing_from_base_lexicon
akazoti,3,7,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akazvarwa,5,9,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
ake,20,3,english_frequency,noise_rule,,19,rag_recovered,,candidate_missing_from_base_lexicon
akomana,9,7,,shona_candidate,,9,deterministic,,candidate_missing_from_base_lexicon
akuda,8,5,,shona_candidate,,8,deterministic,,candidate_missing_from_base_lexicon
akuita,5,6,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
akura,3,5,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akutaura,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akuti,3,5,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
akutoda,5,7,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
amai,43,4,,shona_candidate,,40,deterministic,already_in_base_lexicon,already_in_base_lexicon
amana,38,5,,shona_candidate,,37,deterministic,,candidate_missing_from_base_lexicon
ambuya,3,6,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
amuka,3,5,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
ana,40,3,english_frequency,noise_rule,,38,rag_recovered,,candidate_missing_from_base_lexicon
anembiri,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anenge,33,6,,shona_candidate,,33,deterministic,already_in_base_lexicon,already_in_base_lexicon
anerudo,3,7,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anga,30,4,,shona_candidate,suspected_non_content_seed,30,deterministic,,candidate_missing_from_base_lexicon
angadai,3,7,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
angati,3,6,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
angave,4,6,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
angori,3,6,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
angu,15,4,,shona_candidate,,15,deterministic,,candidate_missing_from_base_lexicon
ani,20,3,english_frequency,noise_rule,,20,rag_recovered,,candidate_missing_from_base_lexicon
ano,26,3,english_frequency,noise_rule,,26,rag_recovered,,candidate_missing_from_base_lexicon
anobata,6,7,,shona_candidate,,6,deterministic,,candidate_missing_from_base_lexicon
anobika,4,7,,shona_candidate,,2,deterministic,,candidate_missing_from_base_lexicon
anobuda,3,7,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anobva,4,6,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
anobvisa,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anochema,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anoda,47,5,,shona_candidate,,46,deterministic,,candidate_missing_from_base_lexicon
anodaro,4,7,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anodiwa,4,7,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
anodya,5,6,,shona_candidate,,5,deterministic,already_in_base_lexicon,already_in_base_lexicon
anoenda,9,7,,shona_candidate,,9,deterministic,,candidate_missing_from_base_lexicon
anofunga,4,8,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
anogadzira,3,10,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anogadzirira,3,12,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anogara,17,7,,shona_candidate,,16,deterministic,,candidate_missing_from_base_lexicon
anogona,23,7,,shona_candidate,,22,deterministic,,candidate_missing_from_base_lexicon
anoita,28,6,,shona_candidate,,28,deterministic,,candidate_missing_from_base_lexicon
anomboita,3,9,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anomirira,4,9,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
anomutsa,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anongoda,6,8,,shona_candidate,,6,deterministic,,candidate_missing_from_base_lexicon
anonyepa,4,8,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
anonyora,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anonzi,13,6,,shona_candidate,,13,deterministic,,candidate_missing_from_base_lexicon
anonzwa,8,7,,shona_candidate,,6,deterministic,,candidate_missing_from_base_lexicon
anonzwisisa,3,11,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anoona,6,6,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
anopa,4,5,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
anopedza,4,8,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
anopenga,13,8,,shona_candidate,,13,deterministic,,candidate_missing_from_base_lexicon
anopera,3,7,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anopikisa,6,9,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anopisa,3,7,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anoramba,6,8,,shona_candidate,,6,deterministic,,candidate_missing_from_base_lexicon
anoreva,4,7,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
anorirova,3,9,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anoroora,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anorova,4,7,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
anorwadziwa,3,11,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anorwara,19,8,,shona_candidate,,19,deterministic,,candidate_missing_from_base_lexicon
anoshanda,4,9,,shona_candidate,,4,deterministic,already_in_base_lexicon,already_in_base_lexicon
anoshandisa,3,11,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anosvika,4,8,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
anotakura,3,9,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anotengesa,3,10,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anoti,21,5,,shona_candidate,,21,deterministic,,candidate_missing_from_base_lexicon
anotora,4,7,,shona_candidate,,4,deterministic,already_in_base_lexicon,already_in_base_lexicon
anoudza,4,7,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
anouya,7,6,,shona_candidate,,7,deterministic,,candidate_missing_from_base_lexicon
anovenga,7,8,,shona_candidate,,7,deterministic,,candidate_missing_from_base_lexicon
anovengwa,3,9,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anoziva,12,7,,shona_candidate,,12,deterministic,,candidate_missing_from_base_lexicon
anozviita,3,9,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anozviti,4,8,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
anzi,3,4,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
anzwa,3,5,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
apedza,5,6,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
apera,7,5,,shona_candidate,,7,deterministic,,candidate_missing_from_base_lexicon
apinda,5,6,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
apo,84,3,english_frequency,noise_rule,,82,rag_recovered,,candidate_missing_from_base_lexicon
aramba,5,6,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
arambe,3,6,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
ariko,6,5,,shona_candidate,,6,deterministic,,candidate_missing_from_base_lexicon
ariku,5,5,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
arikuda,10,7,,shona_candidate,,10,deterministic,,candidate_missing_from_base_lexicon
arikuita,6,8,,shona_candidate,,6,deterministic,,candidate_missing_from_base_lexicon
arikupiwa,3,9,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
arikuti,4,7,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
aripa,5,5,,shona_candidate,suspected_non_content_seed,5,deterministic,,candidate_missing_from_base_lexicon
aripano,3,7,,shona_candidate,,2,deterministic,,candidate_missing_from_base_lexicon
aripi,7,5,,shona_candidate,,7,deterministic,,candidate_missing_from_base_lexicon
aripo,10,5,,shona_candidate,suspected_non_content_seed,9,deterministic,,candidate_missing_from_base_lexicon
asangana,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
asati,6,5,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
ashadaya,4,8,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
ashaya,8,6,,shona_candidate,,7,deterministic,,candidate_missing_from_base_lexicon
asina,61,5,,shona_candidate,,57,deterministic,,candidate_missing_from_base_lexicon
asingacheme,3,11,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
asingazive,3,10,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
asiri,18,5,,shona_candidate,,17,deterministic,,candidate_missing_from_base_lexicon
asiya,3,5,,shona_candidate,,2,deterministic,,candidate_missing_from_base_lexicon
atadza,3,6,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
atanga,9,6,,shona_candidate,,9,deterministic,,candidate_missing_from_base_lexicon
ataura,4,6,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
ati,13,3,english_frequency,noise_rule,,13,rag_recovered,,candidate_missing_from_base_lexicon
atipa,3,5,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
atori,9,5,,shona_candidate,,9,deterministic,,candidate_missing_from_base_lexicon
atova,4,5,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
atove,3,5,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
atowana,3,7,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
auraya,5,6,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
auya,9,4,,shona_candidate,,9,deterministic,,candidate_missing_from_base_lexicon
auye,4,4,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
avana,3,5,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
avanoita,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
ave,19,3,english_frequency,noise_rule,,19,rag_recovered,,candidate_missing_from_base_lexicon
avo,90,3,,shona_candidate,suspected_non_content_seed,87,deterministic,already_in_base_lexicon,already_in_base_lexicon
awane,3,5,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
aya,67,3,english_frequency,noise_rule,,65,rag_recovered,,candidate_missing_from_base_lexicon
ayehwa,3,6,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
ayewa,6,5,,shona_candidate,,6,deterministic,,candidate_missing_from_base_lexicon
ayo,16,3,,shona_candidate,,16,deterministic,,candidate_missing_from_base_lexicon
azere,4,5,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
babaharare,3,10,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
bamukuru,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
basa,208,4,,shona_candidate,,189,deterministic,already_in_base_lexicon,already_in_base_lexicon
bata,23,4,,shona_candidate,,22,deterministic,already_in_base_lexicon,already_in_base_lexicon
batai,7,5,,shona_candidate,,7,deterministic,,candidate_missing_from_base_lexicon
bato,10,4,,shona_candidate,,9,deterministic,,candidate_missing_from_base_lexicon
bcoz,8,4,,shona_candidate,,8,deterministic,,candidate_missing_from_base_lexicon
bcz,7,3,,shona_candidate,,7,deterministic,,candidate_missing_from_base_lexicon
becoz,10,5,,shona_candidate,,10,deterministic,,candidate_missing_from_base_lexicon
bedroomed,4,9,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
benzi,3,5,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
bepa,3,4,,shona_candidate,,3,deterministic,already_in_base_lexicon,already_in_base_lexicon
bhaibheri,5,9,,shona_candidate,,5,deterministic,already_in_base_lexicon,already_in_base_lexicon
bhangu,7,6,,shona_candidate,,7,deterministic,,candidate_missing_from_base_lexicon
bharanzi,5,8,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
bhasikoro,3,9,,shona_candidate,,3,deterministic,already_in_base_lexicon,already_in_base_lexicon
bhazi,5,5,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
bhebhi,3,6,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
bhiza,6,5,,shona_candidate,,6,deterministic,already_in_base_lexicon,already_in_base_lexicon
bho,32,3,,shona_candidate,,31,deterministic,,candidate_missing_from_base_lexicon
bhobho,3,6,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
bhoo,24,4,,shona_candidate,,23,deterministic,,candidate_missing_from_base_lexicon
bhora,22,5,,shona_candidate,,21,deterministic,already_in_base_lexicon,already_in_base_lexicon
bhuku,11,5,,shona_candidate,,11,deterministic,already_in_base_lexicon,already_in_base_lexicon
bhutsu,3,6,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
bigman,3,6,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
blaz,12,4,,shona_candidate,,11,deterministic,,candidate_missing_from_base_lexicon
bodo,6,4,,shona_candidate,,6,deterministic,,candidate_missing_from_base_lexicon
boiz,3,4,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
boka,3,4,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
bonde,7,5,,shona_candidate,,6,deterministic,already_in_base_lexicon,already_in_base_lexicon
bongozozo,3,9,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
bonyora,4,7,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
borrowdale,3,10,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
bota,10,4,,shona_candidate,,8,deterministic,,candidate_missing_from_base_lexicon
buat,4,4,,shona_candidate,,1,deterministic,,candidate_missing_from_base_lexicon
buda,3,4,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
budiriro,4,8,,shona_candidate,,2,deterministic,,candidate_missing_from_base_lexicon
bufu,3,4,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
butcheries,3,10,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
bvisa,3,5,,shona_candidate,,3,deterministic,already_in_base_lexicon,already_in_base_lexicon
bvunza,5,6,,shona_candidate,,4,deterministic,already_in_base_lexicon,already_in_base_lexicon
bvunzai,3,7,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
byo,5,3,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
cczimbabwe,7,10,,shona_candidate,,7,deterministic,,candidate_missing_from_base_lexicon
cde,32,3,,shona_candidate,,32,deterministic,,candidate_missing_from_base_lexicon
cerevita,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
chacho,6,6,,shona_candidate,,6,deterministic,,candidate_missing_from_base_lexicon
chadyiwa,4,8,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
chaicho,5,7,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
chaidzo,7,7,,shona_candidate,,7,deterministic,,candidate_missing_from_base_lexicon
chaiko,22,6,,shona_candidate,,20,deterministic,already_in_base_lexicon,already_in_base_lexicon
chaimo,6,6,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
chaipo,3,6,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
chairo,4,6,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
chaita,3,6,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
chaivo,13,6,,shona_candidate,,12,deterministic,,candidate_missing_from_base_lexicon
chaiwo,12,6,,shona_candidate,,11,deterministic,,candidate_missing_from_base_lexicon
chaiye,16,6,,shona_candidate,,16,deterministic,,candidate_missing_from_base_lexicon
chaiyo,37,6,,shona_candidate,,37,deterministic,already_in_base_lexicon,already_in_base_lexicon
chaizvo,37,7,,shona_candidate,,33,deterministic,already_in_base_lexicon,already_in_base_lexicon
chakadaro,4,9,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
chakaipa,8,8,,shona_candidate,,8,deterministic,,candidate_missing_from_base_lexicon
chakaita,4,8,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
chake,10,5,,shona_candidate,,10,deterministic,,candidate_missing_from_base_lexicon
chako,13,5,,shona_candidate,,13,deterministic,,candidate_missing_from_base_lexicon
chamba,3,6,,shona_candidate,,1,deterministic,,candidate_missing_from_base_lexicon
chandinoziva,4,12,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
chando,3,6,,shona_candidate,,3,deterministic,already_in_base_lexicon,already_in_base_lexicon
changamire,6,10,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
changu,5,6,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
chaora,3,6,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
charamba,4,8,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
chari,4,5,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
charma,5,6,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
chasara,3,7,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
chava,3,5,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
chavo,4,5,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
che,11,3,english_frequency,noise_rule,,11,rag_recovered,,candidate_missing_from_base_lexicon
chedu,7,5,,shona_candidate,,7,deterministic,,candidate_missing_from_base_lexicon
chedura,6,7,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
chega,3,5,,shona_candidate,,1,deterministic,,candidate_missing_from_base_lexicon
chegumi,3,7,,shona_candidate,,2,deterministic,,candidate_missing_from_base_lexicon
cheharare,3,9,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
cheharare-,3,10,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
chehigh,4,7,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
chekare,3,7,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
chekudya,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
chekuisa,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
chekuita,6,8,,shona_candidate,,6,deterministic,,candidate_missing_from_base_lexicon
chekutaura,3,10,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
chekuti,3,7,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
chema,13,5,,shona_candidate,,13,deterministic,already_in_base_lexicon,already_in_base_lexicon
chengeta,5,8,,shona_candidate,,5,deterministic,already_in_base_lexicon,already_in_base_lexicon
chengetai,4,9,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
chenjerai,4,9,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
chenyika,3,8,,shona_candidate,,2,deterministic,,candidate_missing_from_base_lexicon
chenyu,3,6,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
chepamusoro,4,11,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
chero,91,5,,shona_candidate,,87,deterministic,,candidate_missing_from_base_lexicon
chese,8,5,,shona_candidate,,8,deterministic,,candidate_missing_from_base_lexicon
chete,267,5,,shona_candidate,,250,deterministic,already_in_base_lexicon,already_in_base_lexicon
chezimbabwe,4,11,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
chi,21,3,english_frequency,noise_rule,,21,rag_recovered,,candidate_missing_from_base_lexicon
chibaba,11,7,,shona_candidate,,10,deterministic,,candidate_missing_from_base_lexicon
chibage,13,7,,shona_candidate,,11,deterministic,,candidate_missing_from_base_lexicon
